anna	Анна
tuscan	тоскански
current	Тренутни
wonderfully	чудесно
allwe	све ми
poland	Пољска
sea	море
shoes	ципеле
usd	Амерички долар
function	функција
countryside	село
pleases	задовољити
bacteria	бактерија
cycling	бициклизам
throughout	током
chears	Трава
add	додати
train	возити
cover	покривати
plage	плажа
1	1
boys	децаци
spacy	просторија
variuos	разнолик
electrical	електрични
lot	много
fine	у реду
finish	завршити
groups	група
shame	срамота
yoghurt	јогурт
perfectly	савршено
deter	одвраћати
bathtub	када
climb	попети се
score	оценити
ground	звати
animaters	Аниматори
stag	стаја
delightful	прелијан
speak	говорити
technology	технологија
future	будућност
ã¡gent	Агент
rotten	труло
3am	Генерал
managed	управљати
situated	смештен
âd	А € ™ Д
flavouring	ароматизирање
peoplethe	Пеоплетхе
pm	после подне
other	други
maker	произвођач
he	он
unacceptable	неприхватљив
friends	пријатељи
fabulous	сјајно
little	мало
main	главни
milano	милано
sit	седети
notre	наш
50	50
older	старији
nevskii	Невскии
returning	враћање
standard	стандардни
center	центер
floors	подови
position	положај
hell	пакао
enough	довољно
well	добро
also	такође
sound	звук
an	ан
surf	сурфање
distance	растојање
surely	сигурно
off	ван
signal	сигнал
credit	кредит
travelers	путници
three	три
convenience	погодност
wifi	Ви-фи
atmosphere	атмосфера
persons	особе
vice	порок
tiling	поплочавање
inedible	нејестив
remark	намидати
nl	нл
grounds	разделити
clerk	чиновник
completely	у потпуности
slippers	папуче
organized	организован
alanani	Дугме за репродукцију
wide	широк
kettle	чамац
helpfulathe	помоћно
dislike	не вољан
europe	Европа
got	пре
making	прављење
didn	прекршио
allows	омогућава
mistakes	грешке
again	опет
robbed	опљачкан
stolen	украден
nadia	надија
chic	цхиц
dame	даме
steakhouse	одрезак
impossible	немогуће
nightclubs	ноћни клубови
using	Користећи
directions	упутства
note	Белешка
pool	базен
nespresso	Неспрессо
calimera	калимера
accommodating	смештај
creative	креативан
realised	реализован
railway	железнички
points	бодова
visiting	посета
touring	обилазак
thomsons	Томменс
ensures	осигурати
snorkeling	сноркелинг
anymore	више
quite	прилично
course	курс
petros	Петрос
low	низак
ibis	ибис
ã	А-
vehicles	возила
belongings	ствари
simply	једноставно
busy	Заузет
hand	ручно
impression	утисак
portions	порција
proffesional	професионалан
bookingcom	боокингцом
remind	подсетити
dress	хаљина
smell	мирис
70s	70 к
wonderfull	диван
shows	приказивање
tourists	туристи
charm	шарм
backing	који подржава
eight	осам
any	било који
comfy	удобан
y	И
come	доћи
decoration	декорација
although	иако
care	нега
distances	удаљеност
basically	у основи
standards	стандарди
kassandria	Касандриа
via	виа
vieuz	виеуз
domicile	пребивалиште
pond	Језерце
treatment	лечење
angry	љут
narrow	узак
practically	практично
average	просек
roll	ролање
suite	апартман
pantaneto	Пантането
advise	саветовати
feeling	Осећај
ask	питати
bring	довести
cope	савладати
country	земља
respective	одговарајући
entertainment	Забава
talking	причање
definitively	дефинитивно
shower	туш
excursions	излети
beautifully	лепо
fully	потпуно
common	заједнички
worries	бриге
her	њеној
bad	лош
tub	кадица
minded	умучен
udaivilas	удаивилас
closer	ближи
vacation	годишњи одмор
floods	поплаве
heart	срце
trailer	приколица
responsibility	одговорност
interested	заинтересован
booking	резервација
trees	дрвеће
state	држава
attitude	став
clean	чист
yourself	себе
would	би
rank	рангирати
had	јела
definetely	дефинитивно
dvd	ДВД
tele	теле
we	ми
spakenburg	Спакетбург
hotel	Хотел
relaxed	опуштен
pity	штета
july	Јули
beds	креветић
view	поглед
storage	складиште
generous	великодушан
acoustic	акустичан
heated	загрејан
whose	чији
cost	трошак
mess	неред
here	овде
linens	постељина
boring	досадан
period	раздобље
defiantly	пркосно
so	тако
best	најбољи
looked	изгледати
spending	трошење
many	много
being	бити
businesstrips	пословна путовања
length	дужина
renovarted	Ренотворнут.
bikes	бицикли
enterainment	Забава
elysee	Елисее
became	постао
remember	запамтити
what	Шта
employees	запослени
could	могао
guests	гостију
above	горе
throw	бацање
code	шифра
treated	третиран
your	твој
visits	посете
otherwise	иначе
towels	пешкире
always	увек
can	моћи
partner	партнер
which	која
as	као што
reseption	рецепција
eurostar	Еуростар
dorint	доринт
luxor	луксузан
mainly	углавном
attentive	пажљив
drain	одвод
mobile	мобител
recommended	препоручује се
clubs	клубови
kindness	љубазност
fresh	свеж
cottage	Колиба
fun	забавно
urine	урин
terrace	тераса
equipped	опремљен
minibar	минибар
base	база
meat	месо
fat	дебео
everyday	сваки дан
decent	пристојан
heating	грејање
ms	Госпођа
insulation	изолација
afterwards	после
pintxos	пинткос
will	ће
event	догађај
who	ко
sensational	сензационалан
made	направљен
functional	функционалан
transition	прелаз
basin	базен
letdown	изневерити
acceptable	прихватљив
boy	дечак
nite	ните
pools	базени
rather	радије
get	добити
apart	одвојено
cultures	културе
economically	економично
possitive	посебан
no	не
shops	продавнице
altstadt	алтстадт
superfriendly	суперфриендли
6	6
asked	питао
job	посао
food	храна
400	400
flat	раван
exposed	изложени
pubs	пабови
rungis	рунгис
seats	седишта
like	као
mood	расположење
vineyards	виногради
though	иако
titanic	титаниц
cigarette	цигарета
reccomend	препоручити
dolphin	делфин
especially	посебно
amount	износ
bars	барови
doesen	заморити се
game	игра
road	пут
fashioned	модан
thus	тако
koln	колн
personnel	особље
breathtaking	одузима дах
dat	Која
baku	баку
weeks	недељама
heavily	јако
info	Информације
fingerprints	отисци прстију
important	важан
chill	охладити
coktailsstaff	цоктаилсстафф
both	и једно и друго
bliss	блаженство
business	пословати
begrudge	забранити
about	О томе
expense	трошак
conclusion	закључак
foyer	фоиер
christmas	Божић
linen	постељина
lighting	осветљење
enjoy	уживати
need	требати
except	осим
pluspoint	ПлусПоинт.
eran	су
usual	уобичајен
good	Добро
dana	дана
arrived	стигао
