singles	subaylıq
lanxess	lanksess
nice	qəşəng
them	onlara
seashore	dəniz sahili
cake	tort
accompanied	müşayiət olunan
respects	hörmət
calimera	kalimera
interest	maraq
300	300
ours	özümüzünkü
perfectly	mükəmməl
add	əlavə etmək
immidiately	dərhal
greek	yunan
oliver	tayfa
say	ərz etmək
needed	lazımlı
known	məlum
about	haqqında
reserved	bronlanmış
dancers	rəqqasələr
unpleasantness	xoşhallıq
mistakes	səhv
heating	istilik
word	ərz
french	Fransız dili
faded	solğun
verz	ayırma
made	əlli
colors	rəng
lift	qaldırmaq
travelled	gəzinti
warmly	qızğıncasına
detail	detal
surprisingly	təəccüblü
steam	buxarlamaq
extended	uzadılmış
player	oyunçu
booked	bronlanmış
climation	iqlim
talk	söhbət
trees	ağac
kindness	xeyirxahlıq
months	aylıq
might	qüdrət
weekends	həftə sonları
did	ehtiva edən
heater	qızdırıcı
remind	xatırlatmaq
gaps	boşluqlar
info	məlumat
opera	opera
repair	təmir etmək
ve	və
genuine	orijinal
cycling	velosiped sürmə
mice	siçan
expense	xərc
asian	asiyalı
were	var idi
vacation	tətil
1300	1300
dance	rəqs etmək
times	vaxt
length	uzunluq
resorts	kort
en	içində
views	mənzərə
end	bitirmək
superfriendly	möhtəşəm
station	yer
ever	hərdən
food	qida
gave	verdi
welcomewould	Woeldwould
air	hava
doesen	çirkin
mega	mega
fingerprints	barmaq izləri
interesting	matelik
liquires	mayeləşdirmək
most	ən çox
trained	öyrədilmiş
welcoming	xoşhalat edən
casa	Ev
barcelona	barelona
storage	saxlama
boat	qayıq
enough	yetər
egypts	Misir
definetely	qəti
able	qadir
collapses	çökdürmək
fi	olmaq
strongly	güclü
train	qatarlanmaq
suprised	nayiş
russians	rus
pantaneto	Pantaneto
splendid	şöhrətli
nearby	yaxınlıqdakı
unique	unikal
again	yenidən
tram	tramvay
enjoy	həzz almaq
association	dərnək
la	bu
canal	kanal
luxury	dəbdəbəli
construction	Tikinti
ther	lap
still	lovğalıq
instead	əvəzinə
continue	davam etmək
choices	seçim
disclose	ifşa etmək
satisfied	qanıq
halles	ştamp
ridiculous	gülünc
basically	əsasən
accommodating	yerlik
swiming	üzgüçülük
amp;	amp;
happy	xoşnud
brits	brits
pluss	üstəgəlmə
famous	məşhur
bilbao	bilbao
simple	sadə
wouln	vouln
hade	var idi.
steigenburger	Steigenberger
short	qısmamış
oasis	oasis
became	halqalamaq
surge	artım
cracked	çatlaq
usual	adi
river	çayın
