maintained	vzdrževana
smallest	najmanjši
les	The
bussiness	Pobudba
tell	povej
nicest	najlepše
perfume	parfum
periferique	perifernica
nights	Noči
both	oboje
your	Tvoja
done	Končano
touristic	Turistic.
doing	delam
ready	pripravljen
bookingcom	Bookingcom.
price	Cena
handle	ročaj
supermarket	supermarket.
recommend	Priporoči
languages	Jeziki
eurostar	Eurostar.
cusines	kuhinje
joy	veselje
guest	gost
fountain	fontana
reccomend	Priporočamo
came	prišel
she	ona
sensational	senzacionalna
might	morda
italian	Italijanščina
organization	organizacija
biggest	največji
world	World.
miss	zgrešiti
when	kdaj
arrival	Prihod
lot	lot.
taste	okus
messe	messe.
served	postrežen
eg	npr
trying	poskušam
long	dolga
smsevery	SMSERY.
smiles	nasmeh
exceptionally	izjemoma
â·	Â ·
wouln	Wouln.
leaking	puščanje
de	Od
meters	metrov
experience	izkušnje
parts	deli
rebuilding	obnovo
exercise	Vaja
allowing	Omogoča
wasnt	Wasnt.
type	Tip.
luxury	Luxury.
tide	plima
groups	skupine
created	Ustvarjeno
dream	Dream.
not	ne.
completely	Popolnoma
persistent	vztrajno
stuff	stvari
fat	Fat.
brussels	Bruselj
code	Koda
m	M.
insulation	izolacija
7th	Hut.
very	zelo
udaivilas	Udaivilis.
weather	Vreme
professional	strokovnjak
n	n
knew	vedel
ingeniously	iznajdljivo
finished	Dokončano
barcelona	Barcelona
restaurat	obnovljena
building	stavba
gift	darilo
complex	kompleks
visitor	obiskovalec
gladly	z veseljem
street	Street.
functional	delujoč
bridge	most
line	vrstica
robbed	oropati
ll	ll.
life	življenje
excusive	neupravičeno
moments	trenutki
tp	TP.
given	Glede na to
160	160.
visited	obiskan
daily	dnevno
matter	materija
dance	Ples.
television	Televizija
surely	zagotovo
non	ne
chipped	Carped.
restourant	Restavracija
prefect	prefekt.
christmas	Božič
saw	videl
have	imajo
hundred	sto
welcomes	pozdrav
general	General.
bedding	posteljnina
due	Zagotovljeno
mould	plesen
restricted	Omejeno
least	vsaj
traffic	promet
fitnes	fitnes.
it	to
swimming	plavanje
pot	pol
gold	zlato
heater	grelec
helping	Pomoč
hr	Hr.
unbelievable	Neverjetno
encountered	naletel
outside	zunaj
relax	sprostite se
alive	živ
package	paket
400	400.
corner	kotiček
conclusion	Zaključek
boutiques	butiki
excecutive	Executive.
educated	izobraženi
feeling	občutek
avoid	Izogibajte se
mall	Mall.
jaccuzzi	Jaccuzzi.
suprise	preseči
friendy	prijatelj
juices	Sokovi
international	International.
mother	mati
delicious	slasten
cultures	kulture
damage	poškodbe
melia	Melia.
solved	SOLVED.
site	stran
belongings	vnašajo
everybody	vsem
minuscule	minuscule.
kitchen	kuhinja
collapses	zruši
office	Office.
buffet	bife
easily	enostavno
sauna	savna
quicker	hitreje
sofa	kavč
maybe	morda
deventer	Deventer.
diner	Diner.
comfort	Comfort.
enterainment	Zabava
serious	resen
pleasure	užitek
sheets	listov
please	prosim
distances	razdalje
rest	počitek
easy	Easy.
areas	območja
goggle	goggle.
sit	SIT
unique	edinstven
ultra	Ultra.
sharm	Sharm.
tasty	okusno
aerobic	AEROBIC.
has	ima
attendance	prisotnost
separated	ločeno
word	Beseda
â	â € ™
smart	Smart.
slendid	Poljanje
hamburger	Hamburger.
well	dobro
welcomed	dobrodošel
kinds	Vrste
colleagues	kolegi
service	Service.
creative	CREATIVE.
expensive	drago
connected	povezan
enmenons	Enmens.
milk	Mleko
minimal	minimal.
actual	dejansko.
common	običajni
confusing	zmedeno
bus	avtobus
destroyed	uničen
twin	Twin.
system	Sistem
â¬	€
espaccely	epaccely.
speak	govoriti
lack	Pomanjkanje
scrambled	Umešano
forward	naprej
whisky	Whisky.
narrow	ozko
reservations	Rezervacije
relaxatio	sprostitev
open	odprto
sneaky	Sneaky.
aforesaid	prej
2014	2014.
bathtub	kad
luxurious	razkošno
think	Think.
named	Imenovan
vas	vas
despite	Kljub
gare	Postaja
jumeriah	Jumeirah.
varied	raznovrstno
plenty	Veliko
on	On.
soon	Kmalu.
avoided	izogniti
vitosha	Vitosha.
present	Predstavitve
opinion	Mnenje
internet	Internet.
spakenburg	Spakenburg.
pluss	plus.
boring	dolgočasno
south	Južno
fully	Popolnoma
grill	žar
average	Povprečje
18th	18.
fantastic	Fantastično
continental	Continental.
timing	časovni okvir
sun	Sonce.
decorated	okrašena
anyone	kdorkoli
stylish	Eleganten
fault	Napaka
uncomfortable	neudobno
twice	dvakrat
books	Knjige.
pictures	slike.
they	oni
make	Make.
cold	hladno
map	zemljevid
wilderness	divjina
pathã©	PATH ©
hospitality	gostoljubnost
â	â € "
inclusive	vključujoče
builnding	stavba
mice	Mice.
escalator	Escalator.
girl	dekle
recommended	priporočeno
residential	stanovanjsko
denmark	Danska
speaking	govorjenje
incredible	neverjetno
having	the
yoghurt	jogurt.
amel	akcija
absolutely	popolnoma
surroundings	okolica
cuase	vzrok
activities	dejavnosti
riverside	Riverside.
teenagers	Najstniki
euros	evro
blocks	blokov
morning	zjutraj
bit	bit.
moved	premaknjeno
living	živeti
position	Položaj
up	gor.
part	del
find	najti
manner	način
that	to
contemporary	Sodobna
six	šest
perfectly	popolnoma
floors	Tla
steak	zrezek
tried	poskusil
problem	problem
crowded	gneča
inner	notranji
helpfulathe	Pomoč
been	bil
breathtaken	dih
vodka	vodka.
welsh	velejenje
plan	Načrt
animaters	Animatorji
repeat	ponovite
forum	Forum.
stops	ustavi
november	november
underneath	pod njim
grandaughter	Veseljenja
ever	kdaj.
lovely	Lovely.
our	Naša
dust	prah
roll	Roll.
covered	pokriti
registration	Registracija
taxi	taksi.
different	drugačen
tallinn	Tallinn.
rent	Najem
tha	bom
information	Informacije
trip	potovanje
chef	kuhar
hang	Hang.
here	tukaj
spirits	žganja
best	najboljši
management	Upravljanje
review	Opis.
balcony	balkon
worked	delal
relatively	relativno
likely	verjetno
those	Tisti
stays	Estays.
peaceful	mirno
cope	obvladati
job	Job.
hermitage	Hermitage.
try	poskusite
ibis	ibis.
beaituful	Lepo
correspond	ustreza
house	Hiša
daytime	dan
seine	njegov
stupid	neumno
efficient	Učinkovito
possible	mogoče
portions	Deli
ve	in
active	Aktivna
hole	luknja
disco	disco.
come	pridi
cannot	ne morem
straight	naravnost
chair	Predsednik
cook	Cook.
costlier	Costlier.
reseption	recepcija
downside	navzdol
2013	2013.
smelly	smrdljivo
cottages	Počitniške hiše
torn	raztrgano
mum	mama
dine	Tvoja
start	start.
river	reka
spaciousthe	prostoren
already	že
higher	Višje
which	to
suggest	predlagam.
repeatative	ponavljajoč
butt	Butt.
replinished	dopolnjen
twist	Twist.
deserts	puščave
advise	svetovanje
basin	bazen
lanxess	Langess.
last	Zadnja
tasted	okus
no	ne
kindly	prijazno
desk	Desk
conditioning	kondicioniranje
conference	Konferenca
minutes	Zapisnik
houses	hiše
disclosed	razkrije
honor	čast
large	Velika
elevators	dvigala
comfy	udobno
else	drugega
refurnished	Robrite
requests	Zahteve
buiseness	Poslovanje
literally	dobesedno
kindness	prijaznost
sell	prodaj
lamps	svetilke
destinations	destinacije
want	želite
as	sodišče
choose	Izberite
negga	negga.
pipes	Cevi
laughed	Smejal se je
pitch	višina tona
fun	zabava
linens	posteljnina
â	â € œ
other	drugo
nevskii	Nevskii.
clerk	urark
upgrade	nadgradnja
royalty	Royalty.
online	na spletu.
star	zvezda
enjoy	Uživajte
website	Spletna stran
each	vsak
so	tako
coktailsstaff	Coktailsstaff.
hall	hodnik
champs	Champs.
safety	Varnost
highway	Avtocesta
therefore	zato
shoes	čevlji
jean	Jean.
situated	se nahaja
grand	Grand.
2012	2012.
ours	naša
tower	stolp
fast	Hitro
bloody	krvavo
cars	Cars.
center	center
slow	počasi
down	dol
unclog	Unglag.
booking	Rezerviraj
less	manj
15	15.
far	Daljno
bring	prinesi
smooth	gladka
mountain	Mountain.
eat	jesti
t	T.
floor	tla
handicapped	Handicaped.
proximity	Bližina
genuine	pristno
eyesi	OČI
brits	Brits.
behind	zadaj
nes	sodišče
men	moški
could	lahko
interest	obresti
silent	tiho
helped	pomagal
weekday	Tedna dan
guys	fantje
class	razred
tho	tho.
shoping	nakupovanje
likewise	prav tako
varieties	sorte
staffs	Osebje
touchwith	touchwith.
bonus	bonus.
dancers	plesalci
love	ljubezen
concept	Koncept.
services	storitve
would	bi
en	v
july	Julij.
seats	sedeži
immediate	takoj
faulty	napačen
reserved	Rezervirano
freezing	Zamrzovanje
importen	Uvažanje
dutch	Nizozemščina
2nd	2.
meet	srečati
cigarette	cigareta
downstairs	spodaj
french	Francozi
koln	Koln.
bar	bar
hopping	skok
about	približno
working	delo
weekenders	Vikends.
behold	glej
du	Od
dorm	Dorm.
linen	perilo
something	nekaj
flights	Letalo
wonderfully	čudovito
be	BE.
can	lahko
unpleasantness	neprijetnost
cake	Cake.
discovery	odkritje
homeless	Brezdomci
warm	toplo
seashore	obala
pompidou	Pompidou.
a	A.
timely	pravočasno.
baku	baku.
informed	obveščen
bathing	kopanje
tag	oznaka
even	Celo
during	med
ð¢his	ð ¢ njegov
myself	jaz
checkouts	Checkouts.
and	in
safe	sef.
shuttle	shuttle.
marvellous	čudovito
basically	v bistvu
similar	Podobno.
shous	čevlji
give	da
computers	Računalniki
necessary	potrebno
awesome	super
florence	Firence
shower	tuš
warmbarman	WarmBarman.
talk	Pogovor
charged	zaračuna
woerden	woerden.
overpriced	previsok
square	Square.
wooden	Lesena
highlights	Poudarki
unlike	Za razliko od
planning	Načrtovanje
inclysive	vključujoče
than	od
rank	Rank.
wine	Vino
ijust	jaz samo
quality	Kakovost
crazy	Crazy.
germans	Nemci
for	za
surf	Surf.
casa	Hiša
age	Starost
di	Od
appart	Appart.
happiness	Sreča
channels	kanale
blend	mešanica
stayed	ostal
equipment	Oprema
restaurants	restavracije
print	Natisni
chose	izbral
palazzo	Palazzo.
stuck	Stuck.
advertised	oglaševano
dislike	ne marajo
good	dobro
departure	odhod
serve	Postrezite
character	znak
nadia	nadia.
food	hrane
complaint	pritožba
travelling	Potovanje
aerobicthey	aerobicthey.
specially	posebej
nationality	državljanstvo
cool	kul
request	prošnja
let	pustiti
road	cesta
note	Opomba
renovarted	Preusmerjena.
renovation	Obnova
you	ti.
â´	«
russians	Rusi
liquires	likerji
who	WHO
coming	prihaja
certainly	zagotovo
âs	â € ™ s
disadvantages	Slabosti
;	;
charme	čar
betting	Stave
landscaped	urejeno
organised	organizirano
recomend	Pripomoček
hour	uro
these	te
location	Lokacija
wish	želja
use	uporaba
order	Naročilo
trafford	Trafford.
km	km.
prado	prado
wheel	kolo
year	leto
possibilties	možnosti
seaside	Seaside.
shame	sramota
interior	notranjost
balu	žogo
worries	skrbi
field	polje
casino	Casino.
nov	november
spotlessly	brez sramu
partner	Partner.
scandic	Scandic.
directions	Navodila
extremely	zelo
table	Tabela
gorgeous	krasen
liable	Odvigacija
provides	prispeva
state	država
close	Zapri
largest	največje
recently	Nedavno
attention	Pozornost
especialy	Še posebej
top	Vrh
steps	korakov
poland	Poljska
attractions	Znamenitosti. \ T
cooking	Kuhanje
exelent	exelent.
minus	minus.
scale	Lestvica
cleaning	Čiščenje
receptionist	receptor
neatly	lepo
exposed	izpostavljeni
vivaldi	Vivaldi.
emily	Emily.
excelent	Excelent.
immediately	takoj.
5days	5 dni
railway	Železniški promet
normally	Običajno
lake	jezero
we	smo
real	Real.
meat	Meso
ideally	Idealno
exceeded	presežena
bedroom	Spalnica
went	šel
egypts	Egipt
mountains	gore
yard	Yard.
verz	verz
checked	preverjen
guests	Gostom
la	The
still	še vedno
